Component,Description,Qty,Source,Unit Price (INR),Total (INR),Unit Price (USD),Total (USD)
PCB,"Custom PCB (Black, 1.6mm, HASL)",5,JLCPCB,285,1425,$3.42,$17.10
PCBA,SMT Passive Assembly (Top side only),2,JLCPCB,1905,1810,$5.42,$10.84
Shipping,JLCPCB Express Discounted (1.85kg),1,JLCPCB,2300,2300,$27.67,$27.67
MCU,ATmega32U4-AU (TQFP-44),2,Shaarvi,320,640,$3.85,$7.70
Crystal,16 MHz Crystal (SMD 3225),2,LCSC,18,36,$0.22,$0.44
Caps/Resistors,"Supporting RLC (caps, pullups, etc.)",1 set,LCSC,90,90,$1.08,$1.08
USB Port,USB Micro-B Female (SMD),2,LCSC / JLCPCB PCBA,25,50,$0.30,$0.60
Switches,Gateron Yellow clones (budget),65,Meckeys,20,1300,$0.24,$15.60
Keycaps,"PBT 65% Keyset (OEM, non-backlit)",1 set,NeoMacro,1290,1290,$15.30,$15.30
Diodes,1N4148 THT or SMD,70,Shaarvi,1.4,98,$0.017,$1.19
Reset Button,Tactile Button 6mm,1,Shaarvi,6,6,$0.07,$0.07
OLED Display,"0.91"" I²C OLED (SSD1306, 128×32, 4-pin)",1,Amazon.in,190,190,$2.28,$2.28
Cable,USB-A to USB Micro braided (1.5m),1,Amazon.in,225,225,$2.70,$2.70
TOTAL,,,,"10,860.00",,$129.93,
